t,Zx1,Zy1,Zz1,Rxm1,Rym1,Rxp1,Ryp1,a1,Zx2,Zy2,Zz2,Rxm2,Rym2,Rxp2,Ryp2,a2
10.057747157005148,-4.475578836259731e-11,-6.972677430678937e-11,5.502020457223443,-0.48827521916679684,-0.4882752189098885,0.4882752191443647,0.4882752191902389,0.07906000000000007,-1.8848929956255403e-12,-1.0945189596719534e-11,6.102892013116054,-0.7251860242419237,-0.7251860242495471,0.725186024247319,0.7251860242522954,0.07906000000000013
10.083339388956814,-6.931881821596484e-11,-1.1059913277665673e-10,5.520331093587824,-0.4851299467352876,-0.4851299462726178,0.48512994656868663,0.48512994649571517,0.07906000000000006,-4.457438923883195e-12,-1.5540046548793122e-11,6.112330733888021,-0.7273613098500281,-0.7273613098578628,0.7273613098539187,0.7273613098570689,0.07906000000000003
10.10893162090848,-8.270578652244635e-11,-1.2149838340094517e-10,5.5388150637290705,-0.481878370237982,-0.48187836991084576,0.48187837003425543,0.48187837009472656,0.07905999999999996,-7.179170994349041e-12,-2.0619051687142625e-11,6.121699308425086,-0.7295259868452248,-0.7295259868543736,0.7295259868466737,0.7295259868484769,0.07906000000000002
10.134523852860147,-8.678611193266483e-11,-1.0461764679060065e-10,5.557581395220706,-0.47854164665759186,-0.47854164687359413,0.47854164649134934,0.4785416467939765,0.07906000000000003,-8.856209307572386e-12,-2.5321577564900367e-11,6.130994646754916,-0.7316863818582406,-0.7316863818696969,0.7316863818576717,0.7316863818566952,0.07905999999999987
10.160116084811813,-9.118476918110188e-11,-8.784159770874792e-11,5.576656066551051,-0.4752432443495629,-0.4752432451779676,0.47524324416866814,0.47524324451462135,0.07905999999999998,-1.0100245924921455e-11,-3.0430247635913926e-11,6.140202751828629,-0.7338519456758947,-0.7338519456908404,0.7338519456729182,0.7338519456695655,0.07906000000000012
10.18570831676348,-9.701690497105848e-11,-7.897320480469178e-11,5.595973963762854,-0.47197467596858844,-0.4719746769870413,0.47197467583019076,0.47197467609052823,0.07905999999999996,-1.1747247012311225e-11,-3.217567288091216e-11,6.149338595012279,-0.7360139680571396,-0.736013968069471,0.7360139680537587,0.7360139680446702,0.07906000000000007
10.211300548715146,-1.0167845717397587e-10,-8.797163645366693e-11,5.615521168910616,-0.4686181675127907,-0.468618168329639,0.46861816745170926,0.4686181677204831,0.07905999999999995,-1.4153255695190966e-11,-2.8349897336526502e-11,6.158387839455577,-0.7381818465284823,-0.7381818465378199,0.7381818465229879,0.7381818465182207,0.07906000000000005
10.236892780666812,-1.0369120523930049e-10,-1.0807200361121971e-10,5.635334847018349,-0.4651065804246481,-0.4651065807245389,0.46510658029418844,0.4651065803928897,0.07906000000000005,-1.5935142477426538e-11,-2.2733852101811715e-11,6.167358648878808,-0.7403299119069265,-0.7403299119129375,0.7403299118950266,0.7403299118972857,0.07906
10.262485012618479,-1.0119042790339976e-10,-1.2508223982306705e-10,5.655430870785674,-0.4614533778659921,-0.4614533773119382,0.46145337746843185,0.4614533768642913,0.07905999999999999,-1.6243542946870923e-11,-2.2500821299600584e-11,6.1762457239450175,-0.7424356102925042,-0.7424356102889246,0.742435610273788,0.7424356102716426,0.07905999999999987
10.288077244570145,-9.516402867222055e-11,-1.3424586980191018e-10,5.675820164769761,-0.45777065598749944,-0.45777065486999696,0.4577706553408041,0.45777065407081735,0.07905999999999982,-1.4749788003839176e-11,-2.4855527413365874e-11,6.185045638410789,-0.7445222151065812,-0.7445222151013291,0.744522215086534,0.7445222150816893,0.07906000000000006
10.313669476521811,-8.65574074735366e-11,-1.3555525932399285e-10,5.6965360307670245,-0.45423613327800755,-0.45423613263336926,0.45423613268138924,0.4542361317508331,0.07905999999999994,-1.4851803699805163e-11,-2.5572384990048247e-11,6.193761134037612,-0.7466037612649842,-0.74660376126106,0.7466037612456767,0.7466037612395935,0.07906000000000007
10.339261708473478,-7.865604640782167e-11,-1.1594527204240938e-10,5.717606975988821,-0.4509294129524882,-0.4509294135707491,0.45092941257361335,0.45092941284881466,0.07906000000000002,-1.756001437730826e-11,-2.7181043593144448e-11,6.202376081590261,-0.7486911208201512,-0.7486911208160171,0.7486911207968217,0.7486911207922469,0.07906000000000014
10.364853940425144,-8.131192449653226e-11,-8.380302498751985e-11,5.739008493252182,-0.44775456701106126,-0.44775456896698923,0.4477545667263791,0.44775456822439735,0.07906000000000009,-2.0848895279253913e-11,-3.2071962694085036e-11,6.210899291871969,-0.7507572717913324,-0.7507572717772228,0.7507572717609537,0.7507572717403486,0.07906000000000002
10.39044617237681,-9.264743266060228e-11,-7.382917053482756e-11,5.7607255084657885,-0.44450210029300236,-0.4445021028809402,0.44450209995688844,0.44450210191063566,0.07906000000000006,-2.2171329718509457e-11,-3.4039853116594563e-11,6.219323546072735,-0.7527648893138663,-0.7527648892923712,0.7527648892804256,0.7527648892496458,0.07905999999999991
10.416038404328477,-1.0088768924788758e-10,-8.692966291890156e-11,5.782802257545607,-0.4411220531510117,-0.4411220558243427,0.4411220527757496,0.44112205461298093,0.0790600000000001,-2.0268727824415038e-11,-2.7244831469139757e-11,6.227648197409776,-0.7547190005132092,-0.7547190004923375,0.7547190004824958,0.754719000455959,0.07905999999999996
10.441630636280143,-1.104069447985198e-10,-1.248159963571142e-10,5.805305628320796,-0.4376784766488803,-0.43767847910509367,0.43767847604897403,0.4376784772026983,0.07906000000000013,-1.708372739630559e-11,-1.6861087191844446e-11,6.2358619518476885,-0.7566303776211638,-0.7566303776054494,0.7566303775926396,0.7566303775769013,0.07906
10.46722286823181,-1.2911753164437465e-10,-2.0684652794588427e-10,5.8282163128534785,-0.4341976571705331,-0.4341976584891341,0.43419765623888795,0.4341976558594795,0.07905999999999988,-1.5823223727628617e-11,-1.1827933910300488e-11,6.243963871479206,-0.7585345637957203,-0.7585345637759349,0.7585345637668358,0.7585345637471589,0.07905999999999992
10.492815100183476,-1.3946478518394454e-10,-3.0158226750461037e-10,5.851480587429809,-0.43065908080367077,-0.43065907973279227,0.4306590801754957,0.43065907826955774,0.07905999999999991,-1.6250516175697915e-11,-1.3904550241430548e-11,6.251969881822627,-0.7604417327912543,-0.7604417327775177,0.7604417327565431,0.7604417327323006,0.07906000000000002
10.518407332135142,-1.5541654671868928e-10,-4.1331404303002927e-10,5.875076769266831,-0.4270896686887119,-0.4270896653140312,0.42708966919639985,0.427089667246406,0.07906000000000006,-1.930279430258346e-11,-2.448679704522504e-11,6.259874969687366,-0.7623112242413651,-0.7623112242415311,0.7623112242023083,0.7623112241813306,0.07906000000000016
10.543999564086809,-1.9526483156906282e-10,-5.474749683048329e-10,5.8990673343849025,-0.4235876547052827,-0.4235876506032899,0.42358765645499585,0.4235876560130262,0.07905999999999998,-2.486053300160073e-11,-4.297647406426332e-11,6.267683958676368,-0.7641354808530794,-0.7641354808584156,0.7641354808159385,0.7641354807952441,0.07905999999999999
