nt,t (s),enstrophy (m^3/s^2)
126,3.224621225910059,146.5005681844161
127,3.2502134578617263,146.38107293985593
128,3.2758056898133936,146.33414724763807
129,3.301397921765061,146.42899439595413
130,3.326990153716728,146.80107963142663
131,3.3525823856683954,147.17568551631837
132,3.3781746176200627,147.48888534504167
133,3.40376684957173,147.8483165954655
134,3.429359081523397,148.29980728951514
135,3.4549513134750645,148.90839382046576
136,3.4805435454267317,149.59532828549493
137,3.506135777378399,150.07184571553088
138,3.5317280093300663,150.4283519392666
139,3.5573202412817335,150.7945161425844
140,3.582912473233401,151.24698765702334
141,3.608504705185068,151.70956233010526
142,3.6340969371367353,152.0580645187304
143,3.6596891690884026,152.17619927074085
144,3.68528140104007,152.3456319123925
145,3.710873632991737,152.68054093328726
146,3.7364658649434044,152.98819467787152
147,3.7620580968950716,153.0201226601105
148,3.787650328846739,152.81333517340596
149,3.813242560798406,152.69230363509928
150,3.8388347927500734,152.92400839265426
151,3.8644270247017407,153.42748520470747
152,3.890019256653408,154.0151307023527
153,3.9156114886050752,154.44033246088367
154,3.9412037205567425,154.6236942790342
155,3.9667959525084098,154.63378494274934
156,3.992388184460077,154.52336253455627
157,4.017980416411744,154.33132017028205
158,4.043572648363411,154.10272446382191
159,4.069164880315078,153.93270525088508
160,4.094757112266746,153.9256671267582
161,4.120349344218413,154.0620495136956
162,4.14594157617008,154.2221131630707
163,4.1715338081217475,154.3903114058988
164,4.197126040073415,154.63573806428278
165,4.222718272025082,154.9116925308673
166,4.248310503976749,155.36706003323678
167,4.2739027359284165,155.88563530885125
168,4.299494967880084,156.38572961485968
169,4.325087199831751,156.75047387165418
170,4.350679431783418,157.00892402036942
171,4.376271663735086,157.19012084443779
172,4.401863895686753,157.3265661692582
173,4.42745612763842,157.4220529470648
174,4.453048359590087,157.38936375729187
175,4.478640591541755,157.34290435764507
176,4.504232823493422,157.33733382747974
177,4.529825055445089,157.5171893952104
178,4.555417287396756,157.86517506749553
179,4.581009519348424,158.1824935194821
180,4.606601751300091,158.38723658933756
181,4.632193983251758,158.51653143728336
182,4.6577862152034255,158.56132902078522
183,4.683378447155093,158.54493270151985
184,4.70897067910676,158.4677651833054
185,4.734562911058427,158.37384111889267
186,4.760155143010095,158.38427102236278
187,4.785747374961762,158.55762885749985
188,4.811339606913429,158.82195434280047
189,4.836931838865096,159.0435817065891
190,4.862524070816764,159.16712823895594
191,4.888116302768431,159.17877988836372
192,4.913708534720098,159.14821164858972
193,4.939300766671765,159.12386586912942
194,4.964892998623433,159.0662620577671
195,4.9904852305751,159.00178888535547
196,5.016077462526767,158.9885305126476
197,5.0416696944784345,159.11468225406816
198,5.067261926430102,159.37401042253785
199,5.092854158381769,159.6441638695483
200,5.118446390333436,159.90317492010263
201,5.144038622285104,159.9010890896411
202,5.169630854236771,159.96715083685854
203,5.195223086188438,160.01057716044195
204,5.220815318140105,160.0694225895532
205,5.246407550091773,160.1226192368479
206,5.27199978204344,160.1613899938372
207,5.297592013995107,160.24742700219034
208,5.323184245946774,160.4133540093137
209,5.348776477898442,160.6619272545843
210,5.374368709850109,160.8383692099815
211,5.399960941801776,160.8514814873793
212,5.4255531737534435,160.79573095426832
213,5.451145405705111,160.78581266571172
214,5.476737637656778,160.85111334445526
215,5.502329869608445,160.923113279754
216,5.5279221015601125,161.05598112575927
217,5.55351433351178,161.06500463673558
218,5.579106565463447,161.04187463007807
219,5.604698797415114,161.01108112447338
220,5.630291029366782,161.0055632442903
221,5.655883261318449,160.93127708170408
222,5.681475493270116,160.76448800775387
223,5.707067725221783,160.59986332624555
224,5.732659957173451,160.57683763632764
225,5.758252189125118,160.6781432835572
226,5.783844421076785,160.8122822098966
227,5.8094366530284525,160.8984646307823
228,5.83502888498012,160.91441473546175
229,5.860621116931787,160.91007660789708
230,5.886213348883454,160.92266878716796
231,5.9118055808351215,160.93897765960608
232,5.937397812786789,160.95582119968043
233,5.962990044738456,160.98233367631002
234,5.988582276690123,161.03189300981415
235,6.014174508641791,161.12379483441185
236,6.039766740593458,161.23137766417787
237,6.065358972545125,161.20375148065563
238,6.090951204496792,161.18790234982723
239,6.11654343644846,161.13006100592474
240,6.142135668400127,161.09959423907432
241,6.167727900351794,161.09780772409007
242,6.1933201323034615,161.18641685083531
243,6.218912364255129,161.33323807836965
244,6.244504596206796,161.53143307469645
245,6.270096828158463,161.72917907254555
246,6.2956890601101305,161.95455215860764
247,6.321281292061798,162.1393575581098
248,6.346873524013465,162.23781702772163
249,6.372465755965132,162.325799646187
250,6.3980579879168,162.38728554591427
251,6.423650219868467,162.46911548224472
252,6.449242451820134,162.5713231824061
253,6.474834683771801,162.73158341266804
254,6.500426915723469,162.9475694111523
255,6.526019147675136,163.17318802587403
256,6.551611379626803,163.39664839376806
257,6.57720361157847,163.6439589649689
258,6.602795843530138,163.88857979913044
259,6.628388075481805,164.13235176888506
260,6.653980307433472,164.42501795508682
261,6.6795725393851395,164.6994734858817
262,6.705164771336807,165.01543482668163
263,6.730757003288474,165.40088617739747
264,6.756349235240141,165.90595998235605
265,6.781941467191809,166.51183732837788
266,6.807533699143476,167.2014167478542
267,6.833125931095143,167.86573310672603
268,6.85871816304681,168.52611025809907
269,6.884310394998478,169.1734943511764
270,6.909902626950145,169.80915428263546
271,6.935494858901812,170.41096420002376
272,6.961087090853479,170.9895230348873
273,6.986679322805147,171.54694601547843
274,7.012271554756814,172.11226602411364
275,7.037863786708481,172.7594408792506
276,7.0634560186601485,173.36327924691744
277,7.089048250611816,173.96818545749727
278,7.114640482563483,174.5461264673646
279,7.14023271451515,175.06013135953077
280,7.165824946466818,175.58266423725408
281,7.191417178418485,176.1610026620957
282,7.217009410370152,176.86269820939708
283,7.242601642321819,177.59123864060558
284,7.268193874273487,178.3433913974757
285,7.293786106225154,179.13439858849569
286,7.319378338176821,179.8968740011482
287,7.344970570128488,180.67581541777045
288,7.370562802080156,181.45903319453586
289,7.396155034031823,182.20211083211052
290,7.42174726598349,182.8967478994659
291,7.4473394979351575,183.55786048185888
292,7.472931729886825,184.22969234011464
293,7.498523961838492,184.95638693301666
294,7.524116193790159,185.73318805340992
295,7.5497084257418265,186.4790277292887
296,7.575300657693494,187.21782399880368
297,7.600892889645161,187.8998050823306
298,7.626485121596828,188.58667853052327
299,7.652077353548496,189.34544679801263
300,7.677669585500163,190.18246644766333
301,7.70326181745183,191.06049607037053
302,7.728854049403497,191.94911853616844
303,7.754446281355165,192.78150933491125
304,7.780038513306832,193.71212617323553
305,7.805630745258499,194.54792668899847
306,7.8312229772101665,195.29522353459726
307,7.856815209161834,196.0025111471651
308,7.882407441113501,196.6988195234952
309,7.907999673065168,197.46466061171415
310,7.9335919050168355,198.23348337278765
311,7.959184136968503,199.10294551143966
312,7.98477636892017,199.96268308338804
313,8.010368600871837,200.80553337469897
314,8.035960832823504,201.66807724597237
315,8.06155306477517,202.55118522401656
316,8.087145296726836,203.4859345515378
317,8.112737528678503,204.3845556526406
318,8.13832976063017,205.27028783211827
319,8.163921992581836,206.2078316168157
320,8.189514224533502,207.28195537870928
321,8.215106456485168,208.43311338096697
322,8.240698688436835,209.42770477769926
