t,Zx1,Zy1,Zz1,R1,a1,Zx2,Zy2,Zz2,R2,a2
2.2009319478433684,2.448062318993033e-16,1.8086714756096153e-16,1.5417102133713143,0.4909490629224686,0.07905999999999992,1.0756812678588794e-16,-6.376434674157899e-17,1.5943958372722005,1.0024163643097117,0.0790599999999999
2.2265241797950357,2.9080825275512517e-16,2.211840154756877e-16,1.5703984412795384,0.49034357885412483,0.07905999999999985,-3.0013356747885794e-16,1.2611286280756843e-16,1.6005734548381942,1.0027239005483313,0.0790600000000001
2.252116411746703,3.2863694465124756e-16,6.076023936237534e-17,1.5991207319320122,0.49007824697215674,0.07905999999999995,-1.772586202142192e-17,5.442540470222507e-17,1.60673793646674,1.0028640241646491,0.07906000000000003
2.2777086436983702,2.4586744863565684e-16,6.87808612965964e-17,1.6277833938073822,0.49015079001395695,0.07905999999999977,4.1366993470539886e-17,-2.8170580677458566e-16,1.6128797525046832,1.0028260824907074,0.07905999999999991
2.3033008756500375,1.1298985526076605e-16,2.5858397047251193e-16,1.656382775699119,0.4905708040362481,0.07906000000000009,1.1217912240858578e-16,-3.793280468732668e-16,1.6190480468545794,1.0026059291981515,0.07905999999999995
2.3288931076017048,2.0949215238018067e-16,8.242957113672052e-17,1.684859166149108,0.491312615849512,0.0790600000000001,-1.2351351904736987e-17,1.137282374829522e-16,1.6252260865273065,1.0022222199783783,0.07905999999999992
2.354485339553372,2.9531260148339725e-16,2.1888769317842885e-16,1.7131971740445047,0.4923875499107215,0.07905999999999995,-4.523005397541625e-17,-7.080007692017093e-17,1.6314120226548843,1.0016782493660958,0.07906000000000012
2.3800775715050393,3.660043109165181e-16,2.727905425650343e-16,1.7413929340319236,0.49378299856630403,0.07906000000000007,1.3852029769699893e-16,1.302027410175242e-17,1.6376346930021057,1.0009786433445995,0.07906000000000021
2.4056698034567066,4.2826553364402775e-16,2.1151789623192194e-16,1.7693940987895276,0.4954944431989279,0.07905999999999995,3.2547970499394734e-16,7.407983591443073e-18,1.6439218921842251,1.0001346551980943,0.07905999999999995
2.431262035408374,3.19752845867218e-16,1.1767318971242563e-16,1.7971977094708764,0.49749395598820967,0.0790600000000001,-1.812809567228512e-16,-6.234966238801094e-17,1.6502782721735634,0.9991497610108294,0.07905999999999988
2.456854267360041,2.3446701653413235e-16,1.7699511661657938e-16,1.8247731926961968,0.4997522799522766,0.07905999999999995,-1.3314260798231824e-16,-2.3814935470251104e-16,1.6567054910008943,0.9980350937236359,0.07906000000000002
2.4824464993117084,4.1944901679673013e-16,2.61176116527022e-16,1.8520411853445837,0.502264635115541,0.07905999999999985,-1.652311552661743e-16,-1.4704806943327882e-16,1.6632045251851615,0.9967906112250461,0.07906000000000007
2.5080387312633756,1.284802007927034e-16,2.569172367270857e-16,1.8790005195884516,0.5049942367144479,0.07906000000000003,5.049994523144716e-17,-1.701486209299817e-16,1.669776096091868,0.9954262230375569,0.0790600000000001
2.533630963215043,2.9324337621466795e-16,2.325866842906536e-16,1.905630074363154,0.5079182422470029,0.07906,-5.994179925659781e-17,-1.9057090390002587e-17,1.6764313241924904,0.9939497143712176,0.07905999999999994
2.55922319516671,4.0751665889455193e-16,1.7451781204796668e-16,1.9319233638153843,0.5110296925833322,0.07906000000000002,1.6295712791093217e-17,4.6198561886261086e-17,1.6831725739634535,0.9923609103806726,0.07906
2.5848154271183774,1.680803996855681e-16,2.8214441400691576e-16,1.9578760378847346,0.5143113489615027,0.07905999999999985,2.686342054814095e-16,-1.4949957040862156e-16,1.6899955932830513,0.99066844266103,0.07906000000000009
2.6104076590700447,1.365414244474533e-16,3.1870469919430236e-16,1.9834449416896989,0.5177420713015528,0.07906000000000012,-3.488193351220885e-16,-1.5198494780748546e-16,1.696923691785787,0.9888785240512856,0.07905999999999994
2.635999891021712,2.05122692611019e-16,4.0435797591030624e-16,2.008614773656693,0.5213093596395795,0.07905999999999994,1.0168550826626407e-18,-2.781142106427735e-18,1.7039722486833238,0.9870004881336287,0.07906000000000007
2.661592122973379,3.6526546516370505e-16,2.2232665317125266e-16,2.0333536275994852,0.5249992656058443,0.07905999999999987,2.6322298035968795e-16,-1.7416414487689017e-17,1.7111463150747963,0.9850385996864808,0.07906
2.6871843549250465,4.1646822817999634e-16,2.025587976156786e-16,2.057646996029007,0.5288047475975242,0.07905999999999991,9.796913010731803e-17,1.295667269825829e-16,1.718424377080315,0.9830028408093227,0.07906
2.7127765868767137,1.5709525908468718e-16,2.876978498729301e-16,2.0815050591830273,0.5327193279893535,0.07905999999999998,3.425531322296605e-16,-6.884206882505681e-17,1.7257902128602476,0.9808959184460702,0.0790600000000001
2.738368818828381,8.712357154949804e-17,3.506398666913753e-16,2.104948895769534,0.5367370758554464,0.07905999999999982,-1.8678070500004718e-16,-1.6660383109530251e-16,1.7332337530030268,0.9787223290225703,0.07906000000000002
2.7639610507800483,3.334440241486548e-17,2.5543207480556764e-16,2.128021162127547,0.5408430397707876,0.07906000000000012,1.698363184248862e-16,-6.915743320094684e-17,1.7407620317744494,0.9764845810037069,0.07905999999999996
2.7895532827317155,-2.7499431824541246e-17,4.0731245438174077e-16,2.1507521801023497,0.5450130708889285,0.07906000000000017,3.955211532097387e-16,-1.6428459611000523e-16,1.7483906683908212,0.9741906567550936,0.07906000000000009
2.815145514683383,3.3197297177661076e-16,3.3668397563217696e-16,2.1731539299992324,0.5492231168251481,0.0790600000000001,-5.4040694194544546e-17,-2.4857660054204088e-17,1.7561354845267503,0.9718496456691742,0.07906000000000007
2.84073774663505,2.1757826928013585e-16,3.3838684545952734e-16,2.1952531942190077,0.5534628441438741,0.07906000000000003,-4.842995118772197e-16,-3.383968449899024e-17,1.7640039508482308,0.9694664285541671,0.0790599999999999
